Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US42003,42003,"Allegheny County, Pennsylvania",10209,841,875,355,425,383,740,370,625,373,659,327,353,255,372,212,549,336,511,376,565,330,802,437,1572,632,784,456,391,332,679,300,307,191
0500000US42017,42017,"Bucks County, Pennsylvania",5354,589,145,177,149,168,0,242,119,200,77,117,134,171,0,242,413,305,276,248,765,435,690,393,854,562,642,435,341,277,456,343,293,258
0500000US42029,42029,"Chester County, Pennsylvania",4961,537,0,242,0,242,0,242,0,242,0,242,389,308,0,242,131,155,126,153,375,252,688,380,797,369,637,422,652,312,559,266,607,367
0500000US42045,42045,"Delaware County, Pennsylvania",7294,746,548,263,381,291,152,133,340,355,909,1057,292,234,93,114,820,473,368,233,416,294,223,129,1229,520,463,244,379,223,141,138,540,345
0500000US42091,42091,"Montgomery County, Pennsylvania",11823,1822,624,371,203,172,215,185,558,413,388,376,438,288,491,353,566,483,554,529,832,489,1524,658,1997,785,1238,525,575,288,1019,595,601,410
0500000US42101,42101,"Philadelphia County, Pennsylvania",25078,1383,4080,1102,1857,930,1511,729,2262,792,942,496,1375,607,1180,588,2173,1089,1560,823,1305,568,2249,718,1456,608,1467,643,764,458,465,326,432,261
0500000US44007,44007,"Providence County, Rhode Island",5126,904,1147,678,285,215,58,111,299,229,53,94,239,215,240,228,172,142,131,158,241,200,547,450,350,246,441,296,506,270,49,79,368,295
0500000US47037,47037,"Davidson County, Tennessee",5448,680,174,166,300,325,159,128,404,386,353,244,788,540,93,106,142,134,222,187,245,189,767,387,1070,616,284,210,169,143,225,233,53,89
0500000US47157,47157,"Shelby County, Tennessee",5934,736,464,473,284,227,75,116,115,142,82,135,312,235,138,159,390,375,692,448,710,355,247,227,867,387,960,527,229,200,193,161,176,195
0500000US48029,48029,"Bexar County, Texas",9723,1073,728,410,309,265,683,428,470,374,610,429,744,515,124,130,448,295,749,425,1070,545,981,375,823,370,849,427,452,358,274,241,409,262
